@relation 's_0: -C -2'

@attribute NOP_method numeric
@attribute CC_method numeric
@attribute ATFD_method numeric
@attribute FDP_method numeric
@attribute CM_method numeric
@attribute MAXNESTING_method numeric
@attribute LOC_method numeric
@attribute CYCLO_method numeric
@attribute NMCS_method numeric
@attribute NOLV_method numeric
@attribute MaMCL_method numeric
@attribute NOAV_method numeric
@attribute LAA_method numeric
@attribute FANOUT_method numeric
@attribute CFNAMM_method numeric
@attribute ATLD_method numeric
@attribute CLNAMM_method numeric
@attribute CINT_method numeric
@attribute MeMCL_method numeric
@attribute CDISP_method numeric
@attribute isStatic_type numeric
@attribute number_private_visibility_attributes numeric
@attribute number_protected_visibility_attributes numeric
@attribute number_package_visibility_attributes numeric
@attribute num_final_attributes numeric
@attribute num_static_attributes numeric
@attribute num_final_static_attributes numeric
@attribute num_not_final_not_static_attributes numeric
@attribute num_final_not_static_attributes numeric
@attribute num_static_not_final_attributes numeric
@attribute number_public_visibility_methods numeric
@attribute number_private_visibility_methods numeric
@attribute number_protected_visibility_methods numeric
@attribute number_package_visibility_methods numeric
@attribute number_final_methods numeric
@attribute number_abstract_methods numeric
@attribute number_not_abstract_not_final_methods numeric
@attribute number_static_methods numeric
@attribute number_final_static_methods numeric
@attribute number_final_not_static_methods numeric
@attribute number_not_final_static_methods numeric
@attribute number_not_final_not_static_methods numeric
@attribute number_standard_design_methods numeric
@attribute number_constructor_DefaultConstructor_methods numeric
@attribute number_constructor_NotDefaultConstructor_methods numeric
@attribute isStatic_method numeric
@attribute is_LM {0,1}
@attribute is_FE {0,1}

@data
24,0,12,4,0,7,646,39,4,141,3,162,0.333333,4,4,6,2,8,2,0.5,0,51,0,0,7,7,7,50,0,0,10,22,0,1,0,0,33,0,0,0,0,33,29,0,1,0,1,1
4,0,19,5,0,7,106,19,0,14,0,40,0.05,7,6,1,3,26,0,0.269231,0,2,0,0,0,2,0,0,0,2,1,7,0,0,0,0,8,8,0,0,8,0,8,0,0,1,1,1
1,1,0,0,1,3,18,3,0,9,0,9,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,4,0,0,4,0,4,0,0,1,0,0
1,0,0,0,0,2,7,2,0,1,0,2,1,2,2,1,0,2,0,1,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,3,2,0,1,0,0,0
8,0,0,0,0,3,91,17,0,18,0,19,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,7,0,0,0,0,0,7,7,0,0,7,0,7,0,0,1,1,0
8,0,0,0,0,6,112,10,0,25,0,30,1,8,9,6,7,9,0,0.888889,0,26,1,0,13,13,13,26,0,0,60,3,5,0,0,0,68,0,0,0,0,68,38,0,3,0,1,0
0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,1,0,0,1,0,4,1,0,1,1,3,3,0,1,0,0,0
3,0,0,0,0,3,20,3,0,7,0,7,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,10,6,0,0,0,0,16,15,0,0,15,1,15,0,1,1,0,0
2,0,0,0,0,1,4,1,0,2,0,4,1,0,0,2,0,0,0,0,0,0,0,5,0,0,0,5,0,0,7,1,0,0,0,0,8,0,0,0,0,8,3,0,2,0,0,0
1,2,0,0,2,1,5,1,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,4,1,2,1,5,0,1,22,0,1,0,0,0,23,0,0,0,0,23,16,0,2,0,0,0
1,0,0,0,0,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,3,2,1,0,0,0,0
1,22,10,4,22,4,77,7,3,7,2,22,0.090909,7,8,1,0,18,2,0.388889,0,12,0,0,1,4,1,10,0,3,26,1,3,0,0,0,30,5,0,0,5,25,21,0,0,0,0,1
1,0,2,1,0,2,11,2,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,0
0,2,0,0,2,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,5,0,0,2,3,2,3,0,1,7,1,1,0,0,0,9,1,0,0,1,8,4,0,1,1,0,0
1,0,0,0,0,2,7,2,0,1,0,1,0,0,0,0,0,0,0,0,0,36,0,1,1,0,0,39,1,0,134,357,0,0,112,0,379,1,0,112,1,378,477,0,5,0,0,0
1,0,0,0,0,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,3,0,0,8,8,8,9,0,0,15,5,0,6,0,0,26,8,0,0,8,18,19,0,2,0,0,0
0,0,0,0,0,1,21,1,0,0,0,18,1,1,1,18,0,1,0,1,0,19,5,0,2,2,2,22,0,0,25,0,4,0,0,0,29,0,0,0,0,29,7,0,1,0,0,0
0,0,0,0,0,1,5,1,0,1,0,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0
1,1,5,2,1,6,108,23,0,25,0,37,0.166667,6,4,1,0,15,0,0.4,0,0,3,0,0,0,0,3,0,0,14,1,7,0,1,0,21,0,0,1,0,21,20,0,1,0,1,1
0,1,0,0,2,1,11,1,0,1,0,3,1,0,0,2,0,0,0,0,0,2,0,4,1,2,1,5,0,1,22,0,1,0,0,0,23,0,0,0,0,23,16,0,2,0,0,0
4,1,7,1,1,1,20,1,0,4,0,11,0,1,1,0,0,1,0,1,0,8,0,0,0,0,0,8,0,0,4,8,0,1,0,0,13,0,0,0,0,13,12,0,1,0,0,1
0,0,0,0,0,1,3,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,0
29,0,18,5,0,8,673,53,7,148,3,179,0.28,5,5,7,3,10,2,0.5,0,51,0,0,7,7,7,50,0,0,10,22,0,1,0,0,33,0,0,0,0,33,29,0,1,0,1,1
1,0,0,0,0,2,23,4,0,3,0,4,1,0,0,1,0,0,0,0,0,3,0,0,2,0,0,1,2,0,3,8,0,0,0,0,11,1,0,0,1,10,10,0,1,0,0,0
11,0,13,6,0,8,107,33,0,26,0,46,0.181818,9,15,4,2,20,0,0.45,0,0,94,0,13,13,13,94,0,0,12,0,22,0,0,0,34,0,0,0,0,34,30,0,1,0,1,1
2,1,1,1,1,2,13,2,0,2,0,5,0.666667,3,2,2,1,3,0,1,0,0,3,0,0,0,0,3,0,0,5,0,1,0,0,0,6,0,0,0,0,6,5,0,1,0,0,0
4,0,39,3,0,2,239,41,0,10,0,73,0.35,9,14,21,2,14,0,0.642857,0,10,0,7,5,5,5,26,0,0,100,3,0,1,0,0,104,37,0,0,37,67,55,0,2,1,1,1
0,0,0,0,0,1,4,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,7,0,0,1,0,0,8,0,0,0,0,8,7,0,1,0,0,0
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,5,0,0,0,0,5,4,0,1,0,0,0
7,0,0,0,0,1,6,1,0,9,0,6,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,0,0,0
0,0,2,1,0,2,21,2,0,3,0,10,0.666667,4,3,4,0,5,0,0.8,0,0,4,0,1,1,1,4,0,0,7,0,4,0,0,0,11,0,0,0,0,11,10,0,1,0,0,0
3,0,0,0,0,1,3,1,0,3,0,3,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0
1,1,0,0,1,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,4,0,0,4,3,3,0,1,0,2,2,0,0,0,0,4,2,0,0,2,2,3,0,1,0,0,0
0,1,0,0,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2,19,0,19,21,19,14,0,2,9,0,0,0,0,0,9,1,0,0,1,8,4,0,1,0,0,0
2,0,8,3,0,2,38,12,0,7,0,15,0,4,5,0,0,11,0,0.363636,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,0,0,1
0,0,13,3,0,4,46,6,8,4,2,23,0.2,5,7,3,1,17,2,0.294118,0,2,0,0,0,1,0,1,0,1,7,0,0,0,0,0,7,0,0,0,0,7,4,0,1,0,0,1
4,1,1,1,1,3,22,3,0,6,0,10,0.75,1,0,3,1,1,0,1,0,5,0,0,2,2,2,3,0,0,6,3,0,0,0,0,9,2,0,0,2,7,8,0,1,0,0,0
2,0,10,3,0,6,50,11,0,8,0,18,0,1,5,0,2,5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,17,17,0,0,17,0,17,0,0,1,0,0
1,0,0,0,0,2,7,2,0,1,0,2,1,2,2,1,0,2,0,1,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,3,2,0,1,0,0,0
1,1,26,11,1,4,206,58,2,12,2,53,0.365854,16,24,15,1,34,2,0.470588,0,1,0,4,1,1,1,4,0,0,2,0,9,0,0,0,11,0,0,0,0,11,10,0,1,0,1,1
4,0,28,7,0,7,127,23,3,21,2,66,0.151515,16,17,5,3,44,2,0.363636,0,15,0,0,0,1,0,14,0,1,70,5,0,0,0,0,75,1,0,0,1,74,58,0,0,0,1,1
9,1,2,2,1,6,124,8,0,9,0,6,0.5,2,2,1,0,2,0,1,0,0,5,1,4,0,0,2,4,0,8,2,1,0,0,0,11,0,0,0,0,11,6,0,2,0,0,0
4,0,4,2,0,6,136,20,0,29,0,40,0.6,4,8,6,3,14,0,0.285714,0,8,0,0,2,4,0,2,2,4,3,4,1,0,0,0,8,0,0,0,0,8,5,0,1,0,1,0
2,0,0,0,0,2,7,2,0,3,0,4,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,7,1,0,0,1,6,6,0,1,0,0,0
1,1,2,2,1,2,33,3,0,11,0,14,1,7,10,1,0,10,0,0.7,0,2,0,0,1,1,1,1,0,0,7,0,0,0,0,0,7,0,0,0,0,7,6,0,1,0,0,0
3,0,4,4,0,8,244,50,0,32,0,33,0.333333,10,6,2,5,10,0,1,0,0,0,0,0,0,0,8,0,0,20,9,1,0,0,0,30,0,0,0,0,30,23,0,1,0,1,1
4,0,22,4,0,7,160,26,1,17,2,44,0.153846,5,11,4,2,23,2,0.217391,0,2,0,2,0,0,0,4,0,0,3,5,1,0,0,0,9,0,0,0,0,9,6,0,1,0,1,1
0,0,0,0,0,1,6,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,0,0,0
8,0,18,7,0,6,224,57,2,37,2,54,0,13,18,0,0,23,2,0.565217,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,3,0,0,3,0,3,0,0,1,1,1
2,0,18,6,0,8,163,16,0,22,0,56,0.333333,9,18,9,4,31,0,0.290323,0,22,17,0,6,6,5,32,1,1,91,4,62,0,0,2,155,0,0,0,0,157,118,0,0,0,1,1
1,0,0,0,0,1,14,1,0,2,0,10,1,3,3,8,1,3,0,1,0,0,0,8,0,0,0,8,0,0,35,1,0,0,0,0,36,0,0,0,0,36,26,0,1,0,0,0
1,1,0,0,1,1,6,1,0,1,0,4,1,1,0,2,0,1,0,1,0,6,0,0,2,2,2,6,0,0,4,1,0,0,0,0,5,0,0,0,0,5,3,0,1,0,0,0
0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,1,0,0,1,0,4,1,0,1,1,3,3,0,1,0,0,0
5,0,13,6,0,6,132,24,0,16,0,36,0.176471,7,10,3,3,13,0,0.538462,0,0,3,1,1,0,0,3,1,0,0,25,3,108,0,0,136,0,0,0,0,136,135,0,1,0,1,1
1,0,0,0,0,1,6,2,0,2,0,3,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,5,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,0
4,0,3,1,0,7,160,18,0,20,0,25,0.4,2,3,2,8,6,0,0.333333,0,3,0,0,3,3,3,0,0,0,5,9,0,0,0,0,14,0,0,0,0,14,12,0,2,0,1,1
4,0,1,1,0,6,120,19,0,18,0,18,0.5,5,6,1,3,7,0,0.714286,0,7,0,0,0,1,0,6,0,1,35,9,0,0,0,0,44,0,0,0,0,44,39,0,2,0,1,0
2,0,10,5,0,6,181,29,0,24,0,40,0.166667,9,15,2,1,24,0,0.375,0,5,0,0,0,0,0,5,0,0,4,1,2,0,3,0,4,1,1,2,0,4,5,0,1,0,1,1
4,1,32,7,1,8,363,47,3,50,2,91,0.177778,13,14,8,4,42,2,0.309524,0,7,0,2,1,2,1,8,0,1,15,4,1,0,0,0,20,0,0,0,0,20,7,0,1,0,1,1
0,0,10,3,0,8,235,25,0,24,0,32,0,4,4,0,0,12,0,0.333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
1,0,0,0,0,1,13,1,0,2,0,11,1,3,3,9,0,3,0,1,0,0,0,8,0,0,0,8,0,0,35,1,0,0,0,0,36,0,0,0,0,36,26,0,1,0,0,0
2,1,0,0,1,1,6,1,0,2,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0
2,0,0,0,0,3,19,3,0,5,0,4,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,4,1,1,0,0,0,6,0,0,0,0,6,5,0,1,0,0,0
4,1,8,3,1,7,251,66,0,29,0,55,0.4,6,5,8,3,15,0,0.4,0,23,39,0,37,33,30,25,7,3,36,8,3,5,3,0,49,9,1,2,8,41,41,0,2,0,1,1
1,0,0,0,0,1,6,2,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,3,2,1,0,0,0,0
4,1,10,3,1,3,57,8,0,13,0,26,0.090909,6,9,1,9,18,0,0.333333,0,1,0,1,2,2,2,0,0,0,4,6,0,12,0,0,22,21,0,0,21,1,21,0,1,1,0,1
4,0,0,0,0,6,120,12,0,14,0,15,1,2,3,1,3,3,0,0.666667,0,1,0,0,0,1,0,0,0,1,15,1,0,0,0,0,16,16,0,0,16,0,16,0,0,1,1,0
3,0,0,0,0,1,3,1,0,3,0,3,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,5,0,0,2,0,0,7,0,0,0,0,7,2,0,3,0,0,0
1,1,0,0,1,9,177,21,0,19,0,20,0,4,9,0,0,9,0,0.444444,0,8,0,0,2,3,2,6,0,1,2,0,0,0,0,0,2,1,0,0,1,1,2,0,0,1,1,0
1,1,0,0,1,1,9,3,0,1,0,3,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,3,0,0,7,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,0
3,1,4,2,1,6,216,46,0,30,0,50,0.777778,11,15,14,6,16,0,0.6875,0,4,2,12,21,22,21,2,0,1,4,0,12,1,1,0,16,0,0,1,0,16,15,0,2,0,1,0
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
7,0,9,1,0,8,402,72,0,32,0,44,0.25,2,3,3,4,3,0,0.666667,0,4,0,0,1,1,1,3,0,0,10,6,0,0,0,0,16,0,0,0,0,16,9,0,2,0,1,1
4,0,13,9,0,10,1134,248,1,96,2,153,0.660377,30,70,35,12,77,2,0.38961,0,28,0,0,8,7,7,20,1,0,42,17,0,0,0,0,59,5,0,0,5,54,26,0,6,0,1,1
2,2,8,4,2,6,205,34,0,23,0,55,0.777778,5,10,14,10,16,0,0.3125,0,15,0,0,2,2,2,14,0,0,71,1,0,1,0,0,73,0,0,0,0,73,62,0,3,0,1,0
1,0,19,3,0,3,45,21,1,2,2,23,0.095238,3,1,2,18,3,2,1,0,1,0,23,0,0,0,24,0,0,24,1,0,0,0,0,25,0,0,0,0,25,24,0,1,0,0,1
1,0,0,0,0,1,3,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1,0,0,1,34,2,0,0,2,0,34,36,2,0,34,0,36,0,0,1,0,0
3,1,0,0,1,1,7,1,0,3,0,3,0,3,3,0,1,3,0,1,0,1,0,0,1,1,1,0,0,0,10,6,0,0,0,0,16,15,0,0,15,1,15,0,1,1,0,0
1,0,7,3,0,3,19,7,3,1,2,8,0.142857,4,3,1,0,5,2,0.8,0,2,0,0,0,1,0,1,0,1,10,0,7,0,0,7,10,0,0,0,0,17,14,0,2,0,0,1
0,0,0,0,0,1,3,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,0
2,0,0,0,0,1,4,1,0,2,0,3,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,5,0,0,0,0,0,5,0,0,0,0,5,3,0,2,0,0,0
0,0,1,1,0,1,3,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,4,4,4,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,1,0,1,0,0,0
0,0,1,1,0,3,31,6,0,1,0,6,0.75,1,1,3,3,1,0,1,0,0,7,0,2,2,2,7,0,0,17,0,6,0,0,0,23,0,0,0,0,23,21,0,1,0,0,0
11,1,20,6,1,6,152,26,0,41,0,76,0.285714,9,9,8,1,17,0,0.529412,0,0,94,0,13,13,13,94,0,0,12,0,22,0,0,0,34,0,0,0,0,34,30,0,1,0,1,1
1,0,0,0,0,1,6,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2,3,2,0,0,1,4,5,0,0,3,0,6,2,1,2,1,5,8,1,0,0,0,0
6,0,1,1,0,6,118,40,0,21,0,35,0.923077,7,16,12,1,18,0,0.388889,0,10,0,0,12,13,12,0,0,1,6,0,5,0,0,0,11,11,0,0,11,0,11,0,0,1,1,0
2,0,0,0,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,0,0,0
1,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,0,0,0
0,0,0,0,0,2,18,3,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,0,0,1,2,2,0,1,0,0,0
2,1,1,1,1,1,7,1,0,3,0,7,1,4,3,3,0,4,0,1,0,0,7,0,2,2,2,7,0,0,17,0,6,0,0,0,23,0,0,0,0,23,21,0,1,0,0,0
5,0,31,6,0,7,150,45,0,21,0,56,0,9,21,0,1,30,0,0.3,0,1,0,0,11,11,11,0,0,0,7,7,0,0,0,0,14,0,0,0,0,14,13,0,1,0,1,1
0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0
1,4,0,0,4,1,10,2,0,2,0,9,1,1,1,7,0,1,0,1,0,2,9,0,7,6,6,4,1,0,4,1,0,0,0,0,5,0,0,0,0,5,4,1,0,0,0,0
3,0,15,2,0,7,206,60,0,19,0,52,0.428571,5,11,15,12,11,0,0.454545,0,13,34,0,24,19,19,24,5,0,31,7,9,1,7,0,41,2,2,5,0,41,38,1,0,0,1,1
1,0,0,0,0,1,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,0,0,0
1,0,28,14,0,4,176,32,0,16,0,59,0.348837,16,9,15,0,24,0,0.666667,0,16,0,0,0,0,0,16,0,0,5,0,0,0,0,0,5,1,0,0,1,4,3,0,2,0,1,1
4,2,1,1,2,6,107,22,0,26,0,32,0.666667,6,6,2,2,10,0,0.6,0,7,0,1,3,3,2,4,1,1,8,10,0,0,0,0,18,0,0,0,0,18,16,0,1,0,1,0
0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0
1,1,11,1,1,2,10,2,0,3,0,21,0.176471,2,0,3,0,2,0,1,0,0,0,7,0,5,0,7,0,5,9,5,0,0,0,0,14,0,0,0,0,14,8,0,3,0,0,1
1,1,1,1,1,2,16,2,0,5,0,7,1,5,6,1,0,6,0,0.833333,0,2,0,0,1,1,1,1,0,0,7,0,0,0,0,0,7,0,0,0,0,7,6,0,1,0,0,0
1,0,0,0,0,1,13,1,0,2,0,7,1,2,3,4,1,5,0,0.4,0,0,0,2,1,2,1,1,0,1,2,0,2,0,0,0,4,1,0,0,1,3,3,0,1,1,0,0
1,0,0,0,0,5,161,30,0,21,0,20,0,1,4,0,4,4,0,0.25,0,0,9,0,1,1,1,9,0,0,7,0,2,0,0,0,9,1,0,0,1,8,8,1,0,1,1,0
2,0,1,1,0,1,3,1,0,2,0,3,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0
2,0,83,8,0,6,257,75,0,16,0,101,0.023529,3,5,2,4,5,0,0.6,0,0,0,2,0,0,0,2,0,0,4,27,0,0,0,0,31,1,0,0,1,30,29,0,2,0,1,1
